================================================================================
CICERO FULL CORPUS ANALYSIS (Stanza Lemmatization)
Source: Latin Library (Full Text)
Method: Stanza NLP (UD Model), Window Size: 5, Stopwords Removed
================================================================================

Total Files Processed: 138
Total Lemmas: 632835
Unique Pairs Found: 1542989

TOP COLLOCATIONS by PMI (Min count: {min_occurrence})
--------------------------------------------------------------------------------
Collocation                              | PMI        | Count
('ianuaris', 'mensis')                   |       8.46 |    11
('adiutor', 'conscius')                  |       8.46 |     6
('animo', 'vertendo')                    |       8.46 |     6
('futurus', 'praenosco')                 |       8.46 |     6
('tullius', 'u.s')                       |       8.45 |    14
('cultus', 'victus')                     |       8.45 |    10
('cultus', 'victum')                     |       8.45 |     5
('defensor', 'ultor')                    |       8.45 |     5
('domicilis', 'sedes')                   |       8.45 |     9
('iunio', 'mensis')                      |       8.44 |    21
('pudicitia', 'pudor')                   |       8.44 |    11
('fabius', 'mare')                       |       8.44 |    15
('brer', 'longus')                       |       8.44 |     5
('ciceronum', 'iaha')                    |       8.44 |     5
('ai', 'sept')                           |       8.44 |     5
('cohor', 'recuperator')                 |       8.43 |    12
('colonia', 'praefectura')               |       8.43 |     5
('cappadocium', 'syria')                 |       8.42 |     5
('bassus', 'legio')                      |       8.42 |     5
('ardor', 'restinguo')                   |       8.42 |     5
('autronium', 'sulla')                   |       8.42 |     5
('curo', 'diligenterque')                |       8.42 |     6
('doleo', 'vices')                       |       8.41 |    10
('mamertio', 'nav')                      |       8.41 |     8
('impono', 'onus')                       |       8.41 |    28
('galba', 'ser')                         |       8.40 |     7
('kalata', 'publilis')                   |       8.40 |     5
('beo', 'vivo')                          |       8.40 |     6
('idibus', 'martia')                     |       8.39 |    14
('complexio', 'perspicuus')              |       8.39 |     5
('ambo', 'consula')                      |       8.38 |     7
('frater', 'qvintus')                    |       8.38 |     9
('mane', 'postridie')                    |       8.38 |    10
('fortiter', 'sapienter')                |       8.38 |    10
('laodiceus', 'sextilis')                |       8.37 |     6
('gracchus', 'tes')                      |       8.37 |     5
('cotta', 'sulpicius')                   |       8.37 |    16
('ornate', 'uberius')                    |       8.37 |     5
('astura', 'pilio')                      |       8.37 |     6
('argentus', 'aurum')                    |       8.37 |    10
("'quido", 'laelius')                    |       8.37 |     7
('artificiosus', 'naturalis')            |       8.36 |     6
('campus', 'martius')                    |       8.36 |     6
('defensor', 'propugnator')              |       8.36 |     5
('gestio', 'laetitia')                   |       8.35 |    10
('gabinium', 'postumus')                 |       8.35 |     6
